0,0,1,0,0,0,0,0,0,0,2,0,3,5,0,11,1,12,6,39,
0,0,33,11,17,54,7,3,1,0,0,3,20,7,8,2,1,1,1,3,
0,13,0,30,13,16,5,1,0,0,1,0,4,0,0,0,0,0,0,0,
0,14,57,0,30,6,32,2,1,1,0,3,25,3,1,0,0,1,0,0,
0,9,19,20,0,3,16,0,0,1,0,4,7,0,0,0,0,0,1,0,
1,22,21,1,0,0,1,0,0,0,0,1,4,0,3,2,1,0,1,0,
0,4,4,10,12,1,0,14,2,2,2,0,8,3,1,1,1,1,0,0,
0,1,2,2,2,1,17,0,27,1,1,0,11,5,0,0,2,2,0,0,
1,1,3,1,2,3,8,17,0,2,2,0,6,4,1,0,1,0,0,1,
0,0,0,0,0,0,1,0,0,0,4,1,0,1,0,0,1,2,0,1,
0,1,0,1,0,0,2,0,0,17,0,1,0,0,1,0,0,0,0,0,
2,11,12,4,3,5,0,1,0,0,0,0,21,1,4,0,4,2,5,1,
0,8,5,32,21,3,7,13,3,1,0,2,0,8,6,0,0,1,0,0,
3,6,10,1,8,6,4,0,1,3,0,2,9,0,5,2,5,0,10,2,
3,10,8,2,4,4,6,4,0,3,0,2,7,8,0,0,2,0,6,6,
24,1,3,0,0,0,0,2,0,5,1,0,1,7,3,0,1,6,2,27,
2,2,1,0,1,1,2,0,1,2,2,9,3,6,2,0,0,3,63,10,
3,0,0,0,0,1,1,0,1,1,0,0,0,5,1,1,5,0,6,3,
4,0,5,0,1,1,2,6,0,5,1,5,0,8,12,2,23,18,0,7,
26,0,3,0,0,0,1,1,0,1,0,0,0,2,1,15,13,1,13,0,
